title,filename,tm,phi,uri,doi,edcs,edr,epicum,0,term_cert_0,term_key_0,term_ref_0,term_text_0,0,term_key_1,term_ref_1,term_text_1
I.Sicily inscription 3704,isic3704,,178089,http://sicily.classics.ox.ac.uk/inscription/isic3704,10.5281/zenodo.4389007,,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 0443,isic0443,491671,,http://sicily.classics.ox.ac.uk/inscription/isic0443,10.5281/zenodo.4335692,21900505,,,,,ignoratur,https://www.eagle-network.eu/voc/typeins/lod/143.html,Unknown,,,,
I.Sicily inscription 3202,isic3202,175830,,http://sicily.classics.ox.ac.uk/inscription/isic3202,10.5281/zenodo.4388396,13700402,074061,,,,ignoratur,https://www.eagle-network.eu/voc/typeins/lod/143.html,uncertain,,,,
I.Sicily inscription 0880,isic0880,492510,140361,http://sicily.classics.ox.ac.uk/inscription/isic0880,10.5281/zenodo.4339793,39102037,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 0187,isic0187,285216,,http://sicily.classics.ox.ac.uk/inscription/isic0187,10.5281/zenodo.4334478,22100116,127388,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 0928,isic0928,492558,140409,http://sicily.classics.ox.ac.uk/inscription/isic0928,10.5281/zenodo.4340094,39102085,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 0382,isic0382,491593,,http://sicily.classics.ox.ac.uk/inscription/isic0382,10.5281/zenodo.4384377,21900422,141194,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 1324,isic1324,492930,140818,http://sicily.classics.ox.ac.uk/inscription/isic1324,10.5281/zenodo.4385797,39101695,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 0020,isic0020,491780,,http://sicily.classics.ox.ac.uk/inscription/isic0020,10.5281/zenodo.4333796,22000864,137672,,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific,,,,
I.Sicily inscription 1527,isic1527,645027,,http://sicily.classics.ox.ac.uk/inscription/isic1527,10.5281/zenodo.4354315,,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 0739,isic0739,175786,,http://sicily.classics.ox.ac.uk/inscription/isic0739,10.5281/zenodo.4338991,21900460,081529,,,,seat inscription,http://www.eagle-network.eu/voc/typeins/lod/111.html,"seat
                        inscription",,,,
I.Sicily inscription 0150,isic0150,284850,,http://sicily.classics.ox.ac.uk/inscription/isic0150,10.5281/zenodo.4334312,22100090,111046,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 4218,isic4218,,334779,http://sicily.classics.ox.ac.uk/inscription/isic4218,10.5281/zenodo.4390160,,,,,,,,,,,,
I.Sicily inscription 0336,isic0336,491545,,http://sicily.classics.ox.ac.uk/inscription/isic0336,10.5281/zenodo.4384312,21900374,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 0561,isic0561,491810,,http://sicily.classics.ox.ac.uk/inscription/isic0561,10.5281/zenodo.4384938,22100013,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 3006,isic3006,645355,331398,http://sicily.classics.ox.ac.uk/inscription/isic3006,10.5281/zenodo.4387945,,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary (?),,,,
I.Sicily inscription 3421,isic3421,644816,,http://sicily.classics.ox.ac.uk/inscription/isic3421,10.5281/zenodo.4388546,,,,,,building,http://www.eagle-network.eu/voc/typeins/lod/86.html,building,,,,
I.Sicily inscription 3544,isic3544,285165,140927,http://sicily.classics.ox.ac.uk/inscription/isic3544,10.5281/zenodo.4388736,39101547,,,,,dedication,http://www.eagle-network.eu/voc/typeins/lod/88.html,dedication,,,,
"Honours for Aelius Asinius Petitus, rhetor",isic3591,645670,,http://sicily.classics.ox.ac.uk/inscription/isic3591,10.5281/zenodo.4358828,,,,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific,,,,
I.Sicily inscription 2834,isic2834,645228,334495,http://sicily.classics.ox.ac.uk/inscription/isic2834,10.5281/zenodo.4387479,,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 0496,isic0496,491722,,http://sicily.classics.ox.ac.uk/inscription/isic0496,10.5281/zenodo.4384453,22000802,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 1614,isic1614,645071,,http://sicily.classics.ox.ac.uk/inscription/isic1614,10.5281/zenodo.4386205,,,,,,dedication,http://www.eagle-network.eu/voc/typeins/lod/88.html,dedication,,,,
I.Sicily inscription 3885,isic3885,,334333,http://sicily.classics.ox.ac.uk/inscription/isic3885,10.5281/zenodo.4389142,,,,,,,,,,,,
I.Sicily inscription 3619,isic3619,645692,,http://sicily.classics.ox.ac.uk/inscription/isic3619,10.5281/zenodo.4388841,,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
