 "concept" , "prefLabel" , "altLabel" , "related" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/211" , "Roca" , πέτρα , "https://www.eagle-network.eu/voc/objtyp/lod/210" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/211" , "Roca" , صخرة , "https://www.eagle-network.eu/voc/objtyp/lod/210" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/230" , "Grabbau" , επιτύμβιο σήμα , "https://www.eagle-network.eu/voc/objtyp/lod/1772" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/230" , "Grabbau" , "burial building" , "https://www.eagle-network.eu/voc/objtyp/lod/1772" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/230" , "Grabbau" , "edificio sepolcrale" , "https://www.eagle-network.eu/voc/objtyp/lod/1772" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/230" , "Grabbau" , "funerary monument" , "https://www.eagle-network.eu/voc/objtyp/lod/1772" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/230" , "Grabbau" , "Dé ( ? ) d'un monument funéraire, fragment" , "https://www.eagle-network.eu/voc/objtyp/lod/1772" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/230" , "Grabbau" , "Dé d'une base de monument funéraire" , "https://www.eagle-network.eu/voc/objtyp/lod/1772" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/230" , "Grabbau" , "Dé d'une base de monument funéraire, fragment" , "https://www.eagle-network.eu/voc/objtyp/lod/1772" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/230" , "Grabbau" , "Dé d'une base funéraire" , "https://www.eagle-network.eu/voc/objtyp/lod/1772" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/230" , "Grabbau" , "Dé ou stéle funéraire, fragment" , "https://www.eagle-network.eu/voc/objtyp/lod/1772" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/230" , "Grabbau" , "Funerary Site" , "https://www.eagle-network.eu/voc/objtyp/lod/1772" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/230" , "Grabbau" , "Grab" , "https://www.eagle-network.eu/voc/objtyp/lod/1772" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/230" , "Grabbau" , "Grave monument" , "https://www.eagle-network.eu/voc/objtyp/lod/1772" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/230" , "Grabbau" , "monument funéraire" , "https://www.eagle-network.eu/voc/objtyp/lod/1772" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/230" , "Grabbau" , "sepulcrum" , "https://www.eagle-network.eu/voc/objtyp/lod/1772" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/230" , "Grabbau" , "sírépítmény" , "https://www.eagle-network.eu/voc/objtyp/lod/1772" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/230" , "Grabbau" , "tombeau" , "https://www.eagle-network.eu/voc/objtyp/lod/1772" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/230" , "Grabbau" , надгробие , "https://www.eagle-network.eu/voc/objtyp/lod/1772" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/230" , "Grabbau" , نصب جنائزي , "https://www.eagle-network.eu/voc/objtyp/lod/1772" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "Panel" , "https://www.eagle-network.eu/voc/objtyp/lod/309" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "Panel" , "https://www.eagle-network.eu/voc/objtyp/lod/257" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "Panel panel" , "https://www.eagle-network.eu/voc/objtyp/lod/309" ,
